"","SIT_O","SIT_D","IdSito","IdSitd","IdComunao","IdMunicipioo.x","IdMunicipiod.x","Horao","Horad","MedioTTE2","Medios3","Medio_reg","dpie","dpub","dpri","Multimode","Number_modes","minutos","IdComunad","PrimeroDeFactorExpansion","IdMunicipiod.y","IdMunicipioo.y","dist","distance_bin"
"7",100,111,"172",168,6,10,10,"1899-12-31 06:40:00","1899-12-31 07:05:00",2,"A pie + Publico + A pie","Publico",1,1,0,0,1,25,6,91.5384615384615,10,10,2.155,"[0,3]"
"8",100,158,"172",11,6,10,10,"1899-12-31 06:20:00","1899-12-31 07:00:00",1,"A pie + Publico + A pie","Publico",1,1,0,0,1,40,10,91.5384615384615,10,10,7.323,"(6,9]"
"9",100,159,"172",12,6,10,10,"1899-12-31 06:20:00","1899-12-31 06:40:00",1,"A pie + Publico + A pie","Publico",1,1,0,0,1,20,10,91.5384615384615,10,10,7.939,"(6,9]"
"11",100,167,"172",52,6,10,10,"1899-12-31 04:00:00","1899-12-31 05:00:00",3,"A pie + Publico + Publico","Publico",1,1,0,1,2,60,10,91.5384615384615,10,10,11.348,"(9,12]"
"12",100,167,"172",52,6,10,10,"1899-12-31 07:00:00","1899-12-31 08:00:00",3,"A pie + Publico + Publico","Publico",1,1,0,1,2,60,10,91.5384615384615,10,10,11.348,"(9,12]"
"13",100,167,"172",52,6,10,10,"1899-12-31 06:00:00","1899-12-31 06:50:00",3,"A pie + Publico + Publico","Publico",1,1,0,1,2,50,10,91.5384615384615,10,10,11.348,"(9,12]"
"14",100,167,"172",52,6,10,10,"1899-12-31 07:00:00","1899-12-31 08:00:00",3,"A pie + Publico + Publico","Publico",1,1,0,1,2,60,10,91.5384615384615,10,10,11.348,"(9,12]"
"15",100,169,"172",3,6,10,10,"1899-12-31 07:00:00","1899-12-31 07:30:00",1,"A pie + Publico + A pie","Publico",1,1,0,0,1,30,10,91.5384615384615,10,10,8.412,"(6,9]"
"16",100,169,"172",3,6,10,10,"1899-12-31 06:30:00","1899-12-31 07:15:00",1,"A pie + Publico + A pie","Publico",1,1,0,0,1,45,10,91.5384615384615,10,10,8.412,"(6,9]"
"17",100,169,"172",3,6,10,10,"1899-12-31 07:30:00","1899-12-31 08:00:00",1,"A pie + Publico + A pie","Publico",1,1,0,0,1,30,10,91.5384615384615,10,10,8.412,"(6,9]"
"18",100,169,"172",3,6,10,10,"1899-12-31 06:00:00","1899-12-31 06:40:00",1,"A pie + Publico + A pie","Publico",1,1,0,0,1,40,10,91.5384615384615,10,10,8.412,"(6,9]"
